state,action_0,action_1,action_2,action_3,action_4,action_5
0,0.398,0.398,0.398,0.398,0.398,0.398
1,0.481,0.517,0.481,0.517,0.555,0.246
2,0.637,0.681,0.637,0.681,0.727,0.41
3,0.517,0.555,0.517,0.555,0.595,0.284
4,0.299,0.274,0.299,0.274,0.002,0.002
5,0.398,0.398,0.398,0.398,0.398,0.398
6,0.299,0.274,0.299,0.274,0.002,0.002
7,0.383,0.353,0.383,0.353,0.082,0.082
8,0.555,0.517,0.481,0.517,0.246,0.246
9,0.414,0.383,0.353,0.383,0.112,0.112
10,0.398,0.398,0.398,0.398,0.398,0.398
11,0.446,0.414,0.383,0.414,0.143,0.138
12,0.353,0.325,0.353,0.325,0.054,0.054
13,0.414,0.383,0.414,0.383,0.112,0.112
14,0.353,0.324,0.342,0.315,0.048,0.052
15,0.398,0.398,0.398,0.398,0.398,0.398
16,0.883,0.94,0.883,0.94,0.669,1.0
17,0.595,0.555,0.595,0.555,0.284,0.517
18,0.777,0.727,0.681,0.727,0.456,0.681
19,0.637,0.595,0.637,0.595,0.323,0.555
20,0.398,0.398,0.398,0.398,0.398,0.398
21,0.446,0.481,0.481,0.517,0.209,0.209
22,0.595,0.637,0.637,0.681,0.366,0.366
23,0.481,0.517,0.517,0.555,0.246,0.246
24,0.326,0.299,0.299,0.274,0.028,0.027
25,0.398,0.398,0.398,0.398,0.398,0.398
26,0.326,0.296,0.296,0.273,0.025,0.027
27,0.414,0.383,0.383,0.353,0.112,0.111
28,0.517,0.481,0.481,0.517,0.209,0.209
29,0.383,0.353,0.353,0.383,0.082,0.082
30,0.398,0.398,0.398,0.398,0.398,0.398
31,0.414,0.382,0.383,0.414,0.111,0.111
32,0.383,0.353,0.353,0.325,0.082,0.082
33,0.446,0.414,0.414,0.383,0.143,0.143
34,0.383,0.353,0.35,0.325,0.081,0.08
35,0.398,0.398,0.398,0.398,0.398,0.398
36,0.828,0.883,0.883,0.94,0.611,0.611
37,0.637,0.595,0.595,0.555,0.323,0.323
38,0.727,0.681,0.681,0.727,0.41,0.41
39,0.681,0.637,0.637,0.595,0.366,0.366
40,0.398,0.398,0.398,0.398,0.398,0.398
41,0.353,0.325,0.299,0.325,0.054,0.054
42,0.481,0.446,0.414,0.446,0.175,0.175
43,0.383,0.35,0.318,0.35,0.072,0.071
44,0.414,0.446,0.481,0.446,0.175,0.175
45,0.398,0.398,0.398,0.398,0.398,0.398
46,0.414,0.446,0.481,0.446,0.175,0.175
47,0.517,0.555,0.595,0.555,0.284,0.284
48,0.481,0.446,0.414,0.446,0.175,0.175
49,0.353,0.326,0.299,0.326,0.054,0.054
50,0.398,0.398,0.398,0.398,0.398,0.398
51,0.383,0.352,0.32,0.351,0.076,0.076
52,0.414,0.383,0.414,0.383,0.112,0.112
53,0.481,0.446,0.481,0.446,0.175,0.175
54,0.414,0.379,0.412,0.382,0.111,0.111
55,0.398,0.398,0.398,0.398,0.398,0.398
56,0.681,0.637,0.595,0.637,0.366,0.366
57,0.777,0.828,0.883,0.828,0.557,0.557
58,0.681,0.637,0.595,0.637,0.366,0.366
59,0.727,0.681,0.727,0.681,0.41,0.41
60,0.398,0.398,0.398,0.398,0.398,0.398
61,0.326,0.299,0.274,0.326,0.028,0.028
62,0.446,0.414,0.383,0.446,0.143,0.143
63,0.353,0.324,0.292,0.353,0.054,0.053
64,0.446,0.481,0.517,0.446,0.209,0.209
65,0.398,0.398,0.398,0.398,0.398,0.398
66,0.446,0.481,0.517,0.446,0.209,0.209
67,0.555,0.595,0.637,0.555,0.323,0.323
68,0.446,0.414,0.383,0.446,0.143,0.143
69,0.326,0.299,0.274,0.326,0.028,0.028
70,0.398,0.398,0.398,0.398,0.398,0.398
71,0.352,0.323,0.293,0.353,0.053,0.049
72,0.446,0.414,0.383,0.383,0.143,0.143
73,0.517,0.481,0.446,0.446,0.209,0.209
74,0.446,0.414,0.38,0.365,0.139,0.139
75,0.398,0.398,0.398,0.398,0.398,0.398
76,0.637,0.595,0.555,0.637,0.323,0.323
77,0.828,0.883,0.94,0.828,0.611,0.611
78,0.637,0.595,0.555,0.637,0.323,0.323
79,0.777,0.727,0.681,0.681,0.456,0.456
80,0.398,0.398,0.398,0.398,0.398,0.398
81,0.299,0.274,0.274,0.299,0.003,0.003
82,0.414,0.383,0.383,0.414,0.112,0.112
83,0.326,0.297,0.299,0.324,0.021,0.028
84,0.481,0.517,0.517,0.481,0.555,0.246
85,0.398,0.398,0.398,0.398,0.398,0.398
86,0.481,0.517,0.517,0.481,0.555,0.246
87,0.595,0.637,0.637,0.595,0.681,0.366
88,0.414,0.383,0.383,0.414,0.112,0.112
89,0.299,0.274,0.274,0.299,0.003,0.003
90,0.398,0.398,0.398,0.398,0.398,0.398
91,0.326,0.271,0.271,0.324,0.022,0.0
92,0.414,0.383,0.383,0.414,0.112,0.112
93,0.481,0.446,0.446,0.481,0.175,0.175
94,0.414,0.382,0.382,0.41,0.094,0.111
95,0.398,0.398,0.398,0.398,0.398,0.398
96,0.595,0.555,0.555,0.595,0.284,0.517
97,0.883,0.94,0.94,0.883,0.669,1.0
98,0.595,0.555,0.555,0.595,0.284,0.517
99,0.727,0.681,0.681,0.727,0.41,0.637
100,0.398,0.398,0.398,0.398,0.398,0.398
101,0.446,0.517,0.446,0.481,0.209,0.209
102,0.595,0.681,0.595,0.637,0.366,0.366
103,0.481,0.555,0.481,0.517,0.246,0.246
104,0.326,0.274,0.325,0.299,0.027,0.028
105,0.398,0.398,0.398,0.398,0.398,0.398
106,0.326,0.274,0.325,0.299,0.028,0.027
107,0.414,0.353,0.414,0.383,0.112,0.112
108,0.595,0.517,0.517,0.555,0.284,0.284
109,0.446,0.383,0.383,0.414,0.143,0.143
110,0.398,0.398,0.398,0.398,0.398,0.398
111,0.481,0.414,0.414,0.446,0.175,0.175
112,0.383,0.326,0.383,0.353,0.082,0.082
113,0.446,0.383,0.446,0.414,0.143,0.143
114,0.383,0.323,0.38,0.353,0.082,0.082
115,0.398,0.398,0.398,0.398,0.398,0.398
116,0.828,0.94,0.828,0.883,0.611,0.611
117,0.637,0.555,0.637,0.595,0.323,0.323
118,0.828,0.727,0.727,0.777,0.505,0.505
119,0.681,0.595,0.681,0.637,0.366,0.366
120,0.398,0.398,0.398,0.398,0.398,0.398
121,0.414,0.481,0.446,0.481,0.175,0.175
122,0.555,0.637,0.595,0.637,0.323,0.323
123,0.446,0.517,0.481,0.517,0.209,0.209
124,0.353,0.299,0.325,0.299,0.054,0.054
125,0.398,0.398,0.398,0.398,0.398,0.398
126,0.353,0.295,0.325,0.299,0.054,0.054
127,0.446,0.383,0.414,0.383,0.143,0.143
128,0.555,0.481,0.517,0.555,0.246,0.246
129,0.414,0.353,0.383,0.414,0.112,0.112
130,0.398,0.398,0.398,0.398,0.398,0.398
131,0.446,0.383,0.414,0.446,0.143,0.143
132,0.414,0.353,0.383,0.353,0.112,0.112
