episode,total_reward
1,-370
2,-406
3,-370
4,-424
5,-388
6,-307
7,-415
8,-352
9,-406
10,-433
11,-397
12,-397
13,-316
14,-388
15,-361
16,-388
17,-415
18,-388
19,-370
20,-325
21,-433
22,-397
23,-496
24,-397
25,-397
26,-370
27,-379
28,-137
29,-460
30,-406
31,-379
32,-433
33,-370
34,-379
35,-388
36,-442
37,-379
38,-397
39,-406
40,-370
41,-388
42,-361
43,-424
44,-325
45,-451
46,-415
47,-388
48,-424
49,-352
50,-370
51,-478
52,-496
53,-433
54,-379
55,-388
56,-415
57,-379
58,-442
59,-415
60,-298
61,-379
62,-361
63,-442
64,-442
65,-424
66,-415
67,-406
68,-424
69,-478
70,-343
71,-532
72,-406
73,-433
74,-388
75,-388
76,-371
77,-460
78,-424
79,-361
80,-496
81,-451
82,-406
83,-433
84,-469
85,-334
86,-406
87,-388
88,-334
89,-406
90,-460
91,-469
92,-424
93,-379
94,-379
95,-397
96,-379
97,-424
98,-433
99,-379
100,-442
101,-460
102,-316
103,-370
104,-298
105,-397
106,-451
107,-478
108,-505
109,-397
110,-308
111,-433
112,-370
113,-352
114,-415
115,-415
116,-415
117,-433
118,-397
119,-469
120,-442
121,-379
122,-433
123,-361
124,-442
125,-406
126,-460
127,-406
128,-388
129,-397
130,-388
131,-298
132,-370
133,-424
134,-352
135,-433
136,-397
137,-442
138,-388
139,-289
140,-424
141,-361
142,-343
143,-388
144,-442
145,-388
146,-505
147,-397
148,-451
149,-379
150,-316
151,-469
152,-433
153,-370
154,-361
155,-424
156,-451
157,-442
158,-388
159,-424
160,-370
161,-379
162,-262
163,-406
164,-388
165,-388
166,-469
167,-451
168,-352
169,-433
170,-415
171,-496
172,-415
173,-370
174,-433
175,-397
176,-424
177,-424
178,-370
179,-361
180,-307
181,-487
182,-406
183,-343
184,-424
185,-406
186,-379
187,-388
188,-379
189,-388
190,-334
191,-505
192,-415
193,-379
194,-415
195,-343
196,-415
197,-325
198,-415
199,-451
200,-352
201,-424
202,-406
203,-397
204,-469
205,-298
206,-442
207,-424
208,-424
209,-469
210,-325
211,-370
212,-460
213,-397
214,-307
215,-388
216,-478
217,-397
218,-361
219,-352
220,-294
221,-379
222,-370
223,-388
224,-316
225,-76
226,-388
227,-75
228,-415
229,-253
230,-406
231,-424
232,-361
233,-352
234,-460
235,-388
236,-433
237,-40
238,-415
239,-415
240,-370
241,-433
242,-460
243,-397
244,-442
245,-379
246,-424
247,-352
248,-379
249,-469
250,-415
251,-406
252,-343
253,-299
254,-370
255,-415
256,-334
257,-406
258,-451
259,-451
260,-442
261,-415
262,-379
263,-433
264,-325
265,-451
266,-442
267,-352
268,-343
269,-352
270,-343
271,-379
272,-415
273,-415
274,-415
275,-397
276,-424
277,-361
278,-379
279,-361
280,-397
281,-262
282,-352
283,-451
284,-406
285,-370
286,-397
287,-424
288,-388
289,-451
290,-352
291,-424
292,-460
293,-388
294,-334
295,-361
296,-370
297,-424
298,-325
299,-424
300,-469
301,-415
302,-424
303,-406
304,-379
305,-415
306,-406
307,-361
308,-289
309,-316
310,-388
311,-442
312,-415
313,-424
314,-406
315,-334
316,-415
317,-442
318,-388
319,-433
320,-469
321,-406
322,-361
323,-442
324,-460
325,-478
326,-361
327,-379
328,-343
329,-433
330,-397
331,-415
332,-406
333,-388
334,-379
335,-289
336,-388
337,-415
338,-325
339,-325
340,-460
341,-325
342,-451
343,-289
344,-262
345,-379
346,-352
347,-415
348,-397
349,-361
350,-361
351,-325
352,-379
353,-370
354,-442
355,-442
356,-496
357,-325
358,-388
359,-406
360,-298
361,-388
362,-514
363,-334
364,-424
365,-397
366,-361
367,-442
368,-451
369,-424
370,-406
371,-415
372,-388
373,-451
374,-415
375,-352
376,-325
377,-469
378,-352
379,-424
380,-433
381,-406
382,-451
383,-352
384,-379
385,-361
386,-415
387,-361
388,-397
389,-397
390,-334
391,-433
392,-397
393,-388
394,-379
395,-487
396,-343
397,-433
398,-352
399,-343
400,-370
401,-379
402,-397
403,-379
404,-451
405,-415
406,-379
407,-433
408,-379
409,-388
410,-424
411,-478
412,-433
413,-325
414,-316
415,-298
416,-352
417,-343
418,-415
419,-424
420,-397
421,-478
422,-379
423,-397
424,-442
425,-406
426,-397
427,-352
428,-433
429,-406
430,-433
431,-424
432,-451
433,-424
434,-397
435,-379
436,-415
