LearningRate,DiscountFactor,ExplorationRate,DecayFactor,DecayThreshold,AverageReward
0.1,0.1,1.0,0.5,500,-140.9
0.1,0.1,1.0,0.5,1000,-151.56
0.1,0.1,1.0,0.5,2000,-168.42
0.1,0.1,1.0,0.5,3000,-189.36
0.1,0.1,1.0,0.9,500,-144.99
0.1,0.1,1.0,0.9,1000,-161.96
0.1,0.1,1.0,0.9,2000,-180.96
0.1,0.1,1.0,0.9,3000,-183.18
0.1,0.1,1.0,0.95,500,-134.9
0.1,0.1,1.0,0.95,1000,-147.06
0.1,0.1,1.0,0.95,2000,-172.5
0.1,0.1,1.0,0.95,3000,-185.14
0.1,0.1,1.0,0.999,500,-159.92
0.1,0.1,1.0,0.999,1000,-162.0
0.1,0.1,1.0,0.999,2000,-180.94
0.1,0.1,1.0,0.999,3000,-174.51
0.1,0.1,0.75,0.5,500,-164.2
0.1,0.1,0.75,0.5,1000,-176.83
0.1,0.1,0.75,0.5,2000,-164.17
0.1,0.1,0.75,0.5,3000,-176.78
0.1,0.1,0.75,0.9,500,-147.36
0.1,0.1,0.75,0.9,1000,-162.05
0.1,0.1,0.75,0.9,2000,-149.47
0.1,0.1,0.75,0.9,3000,-155.58
0.1,0.1,0.75,0.95,500,-141.15
0.1,0.1,0.75,0.95,1000,-143.15
0.1,0.1,0.75,0.95,2000,-149.52
0.1,0.1,0.75,0.95,3000,-141.06
0.1,0.1,0.75,0.999,500,-159.89
0.1,0.1,0.75,0.999,1000,-168.39
0.1,0.1,0.75,0.999,2000,-157.66
0.1,0.1,0.75,0.999,3000,-157.62
0.1,0.1,0.5,0.5,500,-143.18
0.1,0.1,0.5,0.5,1000,-153.64
0.1,0.1,0.5,0.5,2000,-153.71
0.1,0.1,0.5,0.5,3000,-166.21
0.1,0.1,0.5,0.9,500,-155.99
0.1,0.1,0.5,0.9,1000,-153.68
0.1,0.1,0.5,0.9,2000,-168.27
0.1,0.1,0.5,0.9,3000,-149.48
0.1,0.1,0.5,0.95,500,-176.77
0.1,0.1,0.5,0.95,1000,-151.7
0.1,0.1,0.5,0.95,2000,-151.43
0.1,0.1,0.5,0.95,3000,-162.09
0.1,0.1,0.5,0.999,500,-153.82
0.1,0.1,0.5,0.999,1000,-166.38
0.1,0.1,0.5,0.999,2000,-155.82
0.1,0.1,0.5,0.999,3000,-164.1
0.1,0.1,0.25,0.5,500,-135.06
0.1,0.1,0.25,0.5,1000,-155.83
0.1,0.1,0.25,0.5,2000,-149.52
0.1,0.1,0.25,0.5,3000,-159.89
0.1,0.1,0.25,0.9,500,-135.1
0.1,0.1,0.25,0.9,1000,-143.26
0.1,0.1,0.25,0.9,2000,-149.54
0.1,0.1,0.25,0.9,3000,-149.53
0.1,0.1,0.25,0.95,500,-157.93
0.1,0.1,0.25,0.95,1000,-164.26
0.1,0.1,0.25,0.95,2000,-153.6
0.1,0.1,0.25,0.95,3000,-141.15
0.1,0.1,0.25,0.999,500,-170.66
0.1,0.1,0.25,0.999,1000,-160.15
0.1,0.1,0.25,0.999,2000,-170.37
0.1,0.1,0.25,0.999,3000,-172.48
0.1,0.5,1.0,0.5,500,-91.42
0.1,0.5,1.0,0.5,1000,-93.46
0.1,0.5,1.0,0.5,2000,-95.07
0.1,0.5,1.0,0.5,3000,-70.21
0.1,0.5,1.0,0.9,500,-66.59
0.1,0.5,1.0,0.9,1000,-101.48
0.1,0.5,1.0,0.9,2000,-78.66
0.1,0.5,1.0,0.9,3000,-68.16
0.1,0.5,1.0,0.95,500,-59.95
0.1,0.5,1.0,0.95,1000,-97.43
0.1,0.5,1.0,0.95,2000,-84.67
0.1,0.5,1.0,0.95,3000,-86.76
0.1,0.5,1.0,0.999,500,-84.81
0.1,0.5,1.0,0.999,1000,-95.21
0.1,0.5,1.0,0.999,2000,-101.42
0.1,0.5,1.0,0.999,3000,-60.1
0.1,0.5,0.75,0.5,500,-84.78
0.1,0.5,0.75,0.5,1000,-68.29
0.1,0.5,0.75,0.5,2000,-70.39
0.1,0.5,0.75,0.5,3000,-64.14
0.1,0.5,0.75,0.9,500,-74.61
0.1,0.5,0.75,0.9,1000,-99.73
0.1,0.5,0.75,0.9,2000,-64.03
0.1,0.5,0.75,0.9,3000,-66.26
0.1,0.5,0.75,0.95,500,-54.12
0.1,0.5,0.75,0.95,1000,-47.25
0.1,0.5,0.75,0.95,2000,-74.37
0.1,0.5,0.75,0.95,3000,-55.67
0.1,0.5,0.75,0.999,500,-79.1
0.1,0.5,0.75,0.999,1000,-60.45
0.1,0.5,0.75,0.999,2000,-59.85
0.1,0.5,0.75,0.999,3000,-58.03
0.1,0.5,0.5,0.5,500,-80.57
0.1,0.5,0.5,0.5,1000,-95.31
0.1,0.5,0.5,0.5,2000,-80.64
0.1,0.5,0.5,0.5,3000,-57.43
0.1,0.5,0.5,0.9,500,-91.44
0.1,0.5,0.5,0.9,1000,-72.63
0.1,0.5,0.5,0.9,2000,-107.92
0.1,0.5,0.5,0.9,3000,-78.48
0.1,0.5,0.5,0.95,500,-86.85
0.1,0.5,0.5,0.95,1000,-80.99
0.1,0.5,0.5,0.95,2000,-74.86
0.1,0.5,0.5,0.95,3000,-86.8
0.1,0.5,0.5,0.999,500,-68.04
0.1,0.5,0.5,0.999,1000,-80.51
0.1,0.5,0.5,0.999,2000,-72.81
0.1,0.5,0.5,0.999,3000,-57.72
0.1,0.5,0.25,0.5,500,-78.81
0.1,0.5,0.25,0.5,1000,-72.47
0.1,0.5,0.25,0.5,2000,-76.54
0.1,0.5,0.25,0.5,3000,-97.45
0.1,0.5,0.25,0.9,500,-70.8
0.1,0.5,0.25,0.9,1000,-49.61
0.1,0.5,0.25,0.9,2000,-91.06
0.1,0.5,0.25,0.9,3000,-74.55
0.1,0.5,0.25,0.95,500,-70.33
0.1,0.5,0.25,0.95,1000,-41.56
0.1,0.5,0.25,0.95,2000,-95.38
0.1,0.5,0.25,0.95,3000,-89.13
0.1,0.5,0.25,0.999,500,-70.46
0.1,0.5,0.25,0.999,1000,-80.92
0.1,0.5,0.25,0.999,2000,-61.95
0.1,0.5,0.25,0.999,3000,-68.4
0.1,0.9,1.0,0.5,500,7.6
0.1,0.9,1.0,0.5,1000,7.86
0.1,0.9,1.0,0.5,2000,5.94
0.1,0.9,1.0,0.5,3000,6.05
0.1,0.9,1.0,0.9,500,5.67
0.1,0.9,1.0,0.9,1000,7.85
0.1,0.9,1.0,0.9,2000,4.32
0.1,0.9,1.0,0.9,3000,-15.03
0.1,0.9,1.0,0.95,500,7.56
0.1,0.9,1.0,0.95,1000,7.82
0.1,0.9,1.0,0.95,2000,3.91
0.1,0.9,1.0,0.95,3000,7.7
0.1,0.9,1.0,0.999,500,7.99
0.1,0.9,1.0,0.999,1000,7.42
0.1,0.9,1.0,0.999,2000,-0.22
0.1,0.9,1.0,0.999,3000,1.74
0.1,0.9,0.75,0.5,500,7.69
0.1,0.9,0.75,0.5,1000,8.02
0.1,0.9,0.75,0.5,2000,7.76
0.1,0.9,0.75,0.5,3000,7.73
0.1,0.9,0.75,0.9,500,7.89
0.1,0.9,0.75,0.9,1000,7.9
0.1,0.9,0.75,0.9,2000,7.89
0.1,0.9,0.75,0.9,3000,8.22
0.1,0.9,0.75,0.95,500,8.07
0.1,0.9,0.75,0.95,1000,1.64
0.1,0.9,0.75,0.95,2000,7.99
0.1,0.9,0.75,0.95,3000,8.14
0.1,0.9,0.75,0.999,500,8.19
0.1,0.9,0.75,0.999,1000,7.52
0.1,0.9,0.75,0.999,2000,8.11
0.1,0.9,0.75,0.999,3000,8.23
0.1,0.9,0.5,0.5,500,7.56
0.1,0.9,0.5,0.5,1000,8.17
0.1,0.9,0.5,0.5,2000,7.86
0.1,0.9,0.5,0.5,3000,8.1
0.1,0.9,0.5,0.9,500,7.95
0.1,0.9,0.5,0.9,1000,8.21
0.1,0.9,0.5,0.9,2000,8.22
0.1,0.9,0.5,0.9,3000,7.74
0.1,0.9,0.5,0.95,500,7.69
0.1,0.9,0.5,0.95,1000,7.7
0.1,0.9,0.5,0.95,2000,7.76
0.1,0.9,0.5,0.95,3000,7.94
0.1,0.9,0.5,0.999,500,8.09
0.1,0.9,0.5,0.999,1000,8.09
0.1,0.9,0.5,0.999,2000,8.1
0.1,0.9,0.5,0.999,3000,7.56
0.1,0.9,0.25,0.5,500,8.35
0.1,0.9,0.25,0.5,1000,7.78
0.1,0.9,0.25,0.5,2000,8.01
0.1,0.9,0.25,0.5,3000,8.27
0.1,0.9,0.25,0.9,500,7.67
0.1,0.9,0.25,0.9,1000,6.22
0.1,0.9,0.25,0.9,2000,7.93
0.1,0.9,0.25,0.9,3000,8.32
0.1,0.9,0.25,0.95,500,8.06
0.1,0.9,0.25,0.95,1000,8.08
0.1,0.9,0.25,0.95,2000,7.53
0.1,0.9,0.25,0.95,3000,7.74
0.1,0.9,0.25,0.999,500,8.37
0.1,0.9,0.25,0.999,1000,8.02
0.1,0.9,0.25,0.999,2000,7.68
0.1,0.9,0.25,0.999,3000,7.86
0.1,0.99,1.0,0.5,500,8.09
0.1,0.99,1.0,0.5,1000,7.72
0.1,0.99,1.0,0.5,2000,5.75
0.1,0.99,1.0,0.5,3000,6.02
0.1,0.99,1.0,0.9,500,8.04
0.1,0.99,1.0,0.9,1000,7.9
0.1,0.99,1.0,0.9,2000,7.75
0.1,0.99,1.0,0.9,3000,7.71
0.1,0.99,1.0,0.95,500,7.89
0.1,0.99,1.0,0.95,1000,7.96
0.1,0.99,1.0,0.95,2000,7.78
0.1,0.99,1.0,0.95,3000,7.93
0.1,0.99,1.0,0.999,500,7.96
0.1,0.99,1.0,0.999,1000,8.17
0.1,0.99,1.0,0.999,2000,7.59
0.1,0.99,1.0,0.999,3000,3.54
0.1,0.99,0.75,0.5,500,7.41
0.1,0.99,0.75,0.5,1000,7.56
0.1,0.99,0.75,0.5,2000,7.9
0.1,0.99,0.75,0.5,3000,8.12
0.1,0.99,0.75,0.9,500,8.46
0.1,0.99,0.75,0.9,1000,7.99
0.1,0.99,0.75,0.9,2000,8.12
0.1,0.99,0.75,0.9,3000,8.34
0.1,0.99,0.75,0.95,500,7.96
0.1,0.99,0.75,0.95,1000,8.03
0.1,0.99,0.75,0.95,2000,7.92
0.1,0.99,0.75,0.95,3000,7.96
0.1,0.99,0.75,0.999,500,8.03
0.1,0.99,0.75,0.999,1000,7.75
0.1,0.99,0.75,0.999,2000,7.87
0.1,0.99,0.75,0.999,3000,8.01
0.1,0.99,0.5,0.5,500,7.8
0.1,0.99,0.5,0.5,1000,7.85
0.1,0.99,0.5,0.5,2000,7.41
0.1,0.99,0.5,0.5,3000,8.42
0.1,0.99,0.5,0.9,500,7.85
0.1,0.99,0.5,0.9,1000,8.09
0.1,0.99,0.5,0.9,2000,8.07
0.1,0.99,0.5,0.9,3000,8.53
0.1,0.99,0.5,0.95,500,8.53
0.1,0.99,0.5,0.95,1000,7.86
0.1,0.99,0.5,0.95,2000,8.21
0.1,0.99,0.5,0.95,3000,7.93
0.1,0.99,0.5,0.999,500,8.11
0.1,0.99,0.5,0.999,1000,7.94
0.1,0.99,0.5,0.999,2000,8.01
0.1,0.99,0.5,0.999,3000,7.52
0.1,0.99,0.25,0.5,500,8.18
0.1,0.99,0.25,0.5,1000,7.91
0.1,0.99,0.25,0.5,2000,8.15
0.1,0.99,0.25,0.5,3000,8.22
0.1,0.99,0.25,0.9,500,7.77
0.1,0.99,0.25,0.9,1000,7.95
0.1,0.99,0.25,0.9,2000,8.1
0.1,0.99,0.25,0.9,3000,8.13
0.1,0.99,0.25,0.95,500,8.13
0.1,0.99,0.25,0.95,1000,7.91
0.1,0.99,0.25,0.95,2000,8.01
0.1,0.99,0.25,0.95,3000,8.23
0.1,0.99,0.25,0.999,500,8.01
0.1,0.99,0.25,0.999,1000,7.77
0.1,0.99,0.25,0.999,2000,7.92
0.1,0.99,0.25,0.999,3000,7.69
0.5,0.1,1.0,0.5,500,3.4
0.5,0.1,1.0,0.5,1000,2.01
0.5,0.1,1.0,0.5,2000,-0.83
0.5,0.1,1.0,0.5,3000,7.89
0.5,0.1,1.0,0.9,500,4.26
0.5,0.1,1.0,0.9,1000,-0.03
0.5,0.1,1.0,0.9,2000,-0.34
0.5,0.1,1.0,0.9,3000,7.8
0.5,0.1,1.0,0.95,500,-2.5
0.5,0.1,1.0,0.95,1000,-4.23
0.5,0.1,1.0,0.95,2000,-0.17
0.5,0.1,1.0,0.95,3000,5.69
0.5,0.1,1.0,0.999,500,3.96
0.5,0.1,1.0,0.999,1000,2.04
0.5,0.1,1.0,0.999,2000,3.83
0.5,0.1,1.0,0.999,3000,8.28
0.5,0.1,0.75,0.5,500,3.48
0.5,0.1,0.75,0.5,1000,8.56
0.5,0.1,0.75,0.5,2000,8.19
0.5,0.1,0.75,0.5,3000,7.54
0.5,0.1,0.75,0.9,500,-2.14
0.5,0.1,0.75,0.9,1000,6.14
0.5,0.1,0.75,0.9,2000,5.42
0.5,0.1,0.75,0.9,3000,7.21
0.5,0.1,0.75,0.95,500,1.8
0.5,0.1,0.75,0.95,1000,1.93
0.5,0.1,0.75,0.95,2000,8.08
0.5,0.1,0.75,0.95,3000,8.02
0.5,0.1,0.75,0.999,500,2.11
0.5,0.1,0.75,0.999,1000,1.47
0.5,0.1,0.75,0.999,2000,7.87
0.5,0.1,0.75,0.999,3000,7.43
0.5,0.1,0.5,0.5,500,1.78
0.5,0.1,0.5,0.5,1000,8.13
0.5,0.1,0.5,0.5,2000,7.76
0.5,0.1,0.5,0.5,3000,5.52
0.5,0.1,0.5,0.9,500,8.44
0.5,0.1,0.5,0.9,1000,4.07
0.5,0.1,0.5,0.9,2000,1.5
0.5,0.1,0.5,0.9,3000,7.92
0.5,0.1,0.5,0.95,500,3.43
0.5,0.1,0.5,0.95,1000,6.04
0.5,0.1,0.5,0.95,2000,7.96
0.5,0.1,0.5,0.95,3000,8.27
0.5,0.1,0.5,0.999,500,5.55
0.5,0.1,0.5,0.999,1000,7.82
0.5,0.1,0.5,0.999,2000,5.9
0.5,0.1,0.5,0.999,3000,7.77
0.5,0.1,0.25,0.5,500,1.93
0.5,0.1,0.25,0.5,1000,7.76
0.5,0.1,0.25,0.5,2000,7.97
0.5,0.1,0.25,0.5,3000,6.28
0.5,0.1,0.25,0.9,500,-2.44
0.5,0.1,0.25,0.9,1000,8.06
0.5,0.1,0.25,0.9,2000,-4.5
0.5,0.1,0.25,0.9,3000,-6.58
0.5,0.1,0.25,0.95,500,3.39
0.5,0.1,0.25,0.95,1000,-0.38
0.5,0.1,0.25,0.95,2000,3.95
0.5,0.1,0.25,0.95,3000,7.88
0.5,0.1,0.25,0.999,500,6.26
0.5,0.1,0.25,0.999,1000,1.75
0.5,0.1,0.25,0.999,2000,4.1
0.5,0.1,0.25,0.999,3000,6.25
0.5,0.5,1.0,0.5,500,5.87
0.5,0.5,1.0,0.5,1000,8.03
0.5,0.5,1.0,0.5,2000,7.71
0.5,0.5,1.0,0.5,3000,7.66
0.5,0.5,1.0,0.9,500,5.89
0.5,0.5,1.0,0.9,1000,5.9
0.5,0.5,1.0,0.9,2000,7.8
0.5,0.5,1.0,0.9,3000,7.67
0.5,0.5,1.0,0.95,500,7.52
0.5,0.5,1.0,0.95,1000,6.26
0.5,0.5,1.0,0.95,2000,7.83
0.5,0.5,1.0,0.95,3000,8.15
0.5,0.5,1.0,0.999,500,8.0
0.5,0.5,1.0,0.999,1000,7.73
0.5,0.5,1.0,0.999,2000,7.95
0.5,0.5,1.0,0.999,3000,8.08
0.5,0.5,0.75,0.5,500,3.61
0.5,0.5,0.75,0.5,1000,5.84
0.5,0.5,0.75,0.5,2000,7.93
0.5,0.5,0.75,0.5,3000,7.97
0.5,0.5,0.75,0.9,500,8.36
0.5,0.5,0.75,0.9,1000,8.33
0.5,0.5,0.75,0.9,2000,7.56
0.5,0.5,0.75,0.9,3000,7.96
0.5,0.5,0.75,0.95,500,7.74
0.5,0.5,0.75,0.95,1000,3.48
0.5,0.5,0.75,0.95,2000,7.96
0.5,0.5,0.75,0.95,3000,7.76
0.5,0.5,0.75,0.999,500,8.22
0.5,0.5,0.75,0.999,1000,8.03
0.5,0.5,0.75,0.999,2000,8.02
