episode,total_reward
1,-262
2,-325
3,-343
4,-325
5,-316
6,-334
7,-379
8,-325
9,-307
10,-298
11,-343
12,-352
13,-343
14,-352
15,-316
16,-397
17,-361
18,-316
19,-343
20,-397
21,-298
22,-388
23,-433
24,-334
25,-397
26,-316
27,-244
28,-361
29,-334
30,-397
31,-397
32,-370
33,-352
34,-298
35,-379
36,-352
37,-370
38,-352
39,-298
40,-352
41,-271
42,-316
43,-325
44,-442
45,-262
46,-316
47,-298
48,-442
49,-280
50,-361
51,-352
52,-244
53,-361
54,-370
55,-289
56,-262
57,-406
58,-460
59,-343
60,-307
61,-388
62,-289
63,-334
64,-352
65,-262
66,-415
67,-316
68,-244
69,-343
70,-325
71,-307
72,-316
73,-325
74,-361
75,-298
76,-316
77,-298
78,-325
79,-397
80,-343
81,-379
82,-343
83,-361
84,-253
85,-325
86,-307
87,-334
88,-226
89,-370
90,-307
91,-271
92,-397
93,-316
94,-325
95,-316
96,-262
97,-298
98,-325
99,-370
100,-352
101,-280
102,-343
103,-271
104,-313
105,-325
106,-388
107,-361
108,-298
109,-325
110,-289
111,-271
112,-307
113,-289
114,-325
115,-289
116,-361
117,-352
118,-316
119,-334
120,-343
121,-201
122,-298
123,-253
124,-289
125,-406
126,-334
127,-388
128,-361
129,-343
130,-307
131,-325
132,-343
133,-334
134,-271
135,-343
136,-343
137,-307
138,-334
139,-325
140,-177
141,-289
142,-352
143,-190
144,-361
145,-406
146,-325
147,-298
148,-289
149,-316
150,-86
151,-307
152,-280
153,-280
154,-280
155,-361
156,-307
157,-273
158,-388
159,-289
160,-307
161,-289
162,-343
163,-361
164,-334
165,-307
166,-253
167,-325
168,-325
169,-289
170,-325
171,-159
172,-316
173,-298
174,-343
175,-325
176,-154
177,-307
178,-334
179,-361
180,-325
181,-343
182,-253
183,-397
184,-388
185,-106
186,-142
187,-316
188,-151
189,-289
190,-334
191,-316
192,-258
193,-307
194,-370
195,-307
196,-316
197,-307
198,-325
199,-32
200,-289
201,-298
202,-307
203,-298
204,-316
205,-343
206,-244
207,-334
208,-370
209,-271
210,-235
211,-280
212,-325
213,-262
214,-334
215,-170
216,-388
217,-292
218,-103
219,-295
220,-325
221,-204
222,-316
223,-433
224,-289
225,-224
226,-40
227,-253
228,-117
229,-147
230,-307
231,-251
232,-144
233,-168
234,-85
235,-289
236,-125
237,-232
238,-289
239,-325
240,-27
241,-298
242,-97
243,-86
244,-298
245,-316
246,-299
247,-370
248,-334
249,-53
250,-280
251,-343
252,-370
253,-406
254,-271
255,-316
256,-258
257,-316
258,-280
259,-289
260,-168
261,-325
262,-298
263,-244
264,-268
265,-307
266,-298
267,-309
268,-315
269,3
270,-183
271,-262
272,-361
273,-266
274,-294
275,-361
276,-343
277,-397
278,-271
279,-307
280,-307
281,-397
282,-343
283,-325
284,-280
285,-29
286,-196
287,-388
288,-334
289,-41
290,-316
291,-262
292,-280
293,-343
294,-361
295,-34
296,-209
297,-280
298,-370
299,-334
300,-307
301,-298
302,-187
303,-280
304,-30
305,-325
306,-264
307,-221
308,-307
309,-195
310,-325
311,-181
312,-313
313,-361
314,-222
315,-370
316,-343
317,-113
318,-271
319,-298
320,-325
321,-184
322,-253
323,-352
324,-352
325,-180
326,-370
327,-116
328,-131
329,-115
330,-271
331,-93
332,-343
333,-171
334,-343
335,-60
336,-51
337,-37
338,-298
339,-118
340,-316
341,-235
342,-343
343,-242
344,-149
345,-113
346,-289
347,-210
348,-158
349,-135
350,-352
351,-152
352,-207
353,-352
354,-316
355,-271
356,-113
357,-93
358,-316
359,-97
360,-307
361,-95
362,-181
363,-233
364,-361
365,-240
366,-183
367,-67
368,-415
369,-142
370,-103
371,-343
372,-325
373,-298
374,-83
375,-406
376,-132
377,-228
378,-223
379,-247
380,-192
381,-257
382,-334
383,-235
384,-325
385,-68
386,-128
387,-85
388,-68
389,-237
390,-388
391,-147
392,-220
393,-316
394,-325
395,-379
396,-39
397,-90
398,-233
399,-370
400,-146
401,-415
402,-240
403,-343
404,-155
405,-114
406,-191
407,-95
408,-316
409,-272
410,-22
411,-262
412,-316
413,-136
414,-167
415,-205
416,-33
417,-276
418,-172
419,-80
420,-89
421,1
422,-175
423,-216
424,-316
425,-114
426,-76
427,-53
428,-83
429,-210
430,-171
431,-112
432,-103
433,-298
434,-253
435,-70
436,-131
437,-280
438,-149
439,-271
440,-62
441,-90
442,-267
443,-343
444,-210
445,-34
446,-271
447,-273
448,-158
449,-246
450,-334
451,-364
452,-177
453,-193
454,-325
455,-379
456,-132
457,-289
458,-228
459,-159
460,-180
461,-83
462,-217
463,-106
464,-18
465,-141
466,-117
467,-40
468,-74
469,-307
470,-133
471,-86
472,-352
473,-187
474,-2
475,-58
476,-250
477,-155
478,-150
479,-31
480,-180
481,-45
482,-250
483,-253
484,-343
485,-23
486,-106
487,-154
488,-361
489,-262
490,-219
491,-163
492,-166
493,-119
494,-202
495,-152
496,-178
497,-124
498,-271
499,-153
500,-217
501,-140
502,-316
503,-122
504,-147
505,-280
506,-81
507,-147
508,-122
509,-111
510,-245
511,-280
512,-247
513,-343
514,-70
515,-267
516,-73
517,-109
518,-100
519,-82
520,-134
521,-284
522,-225
523,-246
524,-52
525,-218
526,-361
527,-123
528,-131
529,-307
530,-108
531,-252
532,-325
533,-226
534,-152
535,-169
536,-155
537,-71
538,-233
539,-100
540,-379
541,-167
542,-162
543,-195
544,-235
545,-115
546,-178
547,-58
548,-236
549,-94
550,-109
551,-248
552,-300
553,-45
554,-206
555,-26
556,-325
557,-60
558,-316
559,-276
560,-236
561,-178
562,-11
563,-88
564,-325
565,-118
566,-216
567,-150
568,-170
569,-128
570,-361
571,-18
572,-106
573,-142
574,-106
575,-292
576,-352
577,-262
578,-216
579,-195
580,-313
581,-298
582,-192
583,-55
584,-289
585,-177
586,-388
587,-272
588,-129
589,-109
590,-307
591,-152
592,-113
593,-40
594,-228
595,-204
596,-68
597,-158
598,-135
599,-165
600,-112
601,-131
602,-338
603,-307
604,-211
605,-209
606,-122
607,-67
608,-151
609,-307
610,-152
611,-343
612,-220
