episode,total_reward
1,-171.0301805271952
2,-177.6643538268537
3,-178.47414948966426
4,-177.51969583122911
5,-176.056905982046
6,-239.10056368733973
7,-203.03588468185467
8,-232.42105778565542
9,-238.86104533091384
10,-152.64198808705518
11,-202.68293101805546
12,-110.92190498118909
13,-194.03826376408676
14,-169.6784985761522
15,-142.48983742548575
16,-125.83632730125274
17,-179.5268166251092
18,-147.39513580480414
19,-84.66362307191933
20,-159.30682255942673
21,-245.28528137423868
22,-186.08112765999996
23,-142.182889384419
24,-189.55840421446933
25,-183.89125608594904
26,-259.96985417170714
27,-267.2545599291176
28,-164.34192205520503
29,-159.03527608214029
30,-169.14757023785103
31,-161.09299401746898
32,-157.93629040951387
33,-192.67946114662294
34,-110.32497268251616
35,-135.29183076640297
36,-209.9953038922244
37,-191.2472135955
38,-189.54733781472058
39,-178.82283278771473
40,-155.0257980408984
41,-83.88704815926681
42,-125.40922178348579
43,-126.15312575541932
44,-110.25184774251504
45,-224.29574173292374
46,-162.3218899885659
47,-121.40923842559691
48,-226.30406784499235
49,-214.465843065466
50,-168.7501993216988
51,-180.7742364245727
52,-278.49727570511016
53,-116.36568542494925
54,-195.35269586435595
55,-171.69790657810475
56,-129.07666397535488
57,-175.71683221669474
58,-227.60798348241104
59,-177.4242493191346
60,-195.78781426425292
61,-121.7979255482976
62,-123.28600154783834
63,-123.422981512369
64,-149.03480477841816
65,-128.95427860130843
66,-153.4225396744416
67,-174.98701587521182
68,-137.1195959492893
69,-189.19586595214446
70,-186.5394868735001
71,-260.63716308916105
72,-260.85159608179674
73,-208.66524758424987
74,-169.45269688418168
75,-182.29616808071586
76,-124.23875490337616
77,-196.78617393793238
78,-140.902410673411
79,-179.31584344729484
80,-127.90293757681269
81,-145.15519925154138
82,-169.94014881535998
83,-121.2186384394278
84,-137.47792717443647
85,-144.0952921443986
86,-202.35113568773556
87,-199.42785125345188
88,-136.15432037668654
89,-167.58134241936472
90,-202.20949051511033
91,-180.3747084418608
92,-185.34235407120198
93,-74.83082276380739
94,-204.1958752939401
95,-174.57634038196602
96,-209.78233764908632
97,-235.373304423174
98,-87.3452241849226
99,-217.29624078790837
100,-148.97502831993222
101,-100.66208909973288
102,-168.35541752799926
103,-173.79345994963134
104,-205.72833191370424
105,-130.44285694644452
106,-145.55947836110641
107,-143.09344939264597
108,-138.46737455776235
109,-173.30732621144912
110,-209.12360679775003
111,-197.79113833892274
112,-117.97505849929293
113,-180.16938721971897
114,-119.68951165296178
115,-134.50407718678804
116,-99.25366310572454
117,-182.15121323501177
118,-252.4639545167581
119,-178.85707665715717
120,-131.20960184640202
121,-159.20206087558816
122,-125.58897571688443
123,-146.13485723598285
124,-102.53356676394478
125,-177.9797539333986
126,-218.78492371023125
127,-205.0509956526961
128,-199.7141533143144
129,-80.58863495173728
130,-132.81745643869456
131,-209.46011261594916
132,-99.43259018078047
133,-203.3423540712019
134,-125.97359514640128
135,-152.2650281539873
136,-193.6591830944406
137,-158.17137656708243
138,-214.58597032165977
139,-139.97330442317403
140,-112.11590684422268
141,-200.1385095749394
142,-197.55940954803194
143,-167.32922262762236
144,-183.61625026027468
145,-158.48161256235517
146,-150.0092168259866
147,-98.38378822677367
148,-218.01655501826363
149,-217.79931292487322
150,-165.96539611823096
151,-182.53208413460058
152,-128.04794718117108
153,-163.2246211251235
154,-179.34910421003747
155,-198.9310222952888
156,-188.54142135623735
157,-187.18380380550357
158,-148.38500775118905
159,-118.3906636064844
160,-202.04836574072715
161,-177.27575192407855
162,-185.77776375791404
163,-178.81862946996603
164,-128.78815689391035
165,-201.82336194761913
166,-187.2491864282115
167,-149.62584938374067
168,-238.4119763434689
169,-147.18960330335503
170,-121.83983456376681
171,-161.3856309785263
172,-177.98113883008415
173,-161.1488696793509
174,-132.73120276247818
175,-165.9604475312307
176,-274.5904490388243
177,-176.00548693975387
178,-166.14687501176894
